week,week_start,week_end,brand,property_id,sessions,total_users,new_users
202613,2026-03-23,2026-03-29,OnlineCheckWriter,254458280,25096,9647,5893
202614,2026-03-30,2026-04-05,OnlineCheckWriter,254458280,26922,10441,6669
202615,2026-04-06,2026-04-12,OnlineCheckWriter,254458280,27358,10358,6731
202616,2026-04-13,2026-04-19,OnlineCheckWriter,254458280,27976,10646,6784
202617,2026-04-20,2026-04-26,OnlineCheckWriter,254458280,27332,10554,6759
202618,2026-04-27,2026-05-03,OnlineCheckWriter,254458280,26901,10167,6494
202619,2026-05-04,2026-05-10,OnlineCheckWriter,254458280,28502,10167,6558
202620,2026-05-11,2026-05-17,OnlineCheckWriter,254458280,28616,10667,6985
202613,2026-03-23,2026-03-29,ZilMoney,311648623,2982,2023,1610
202614,2026-03-30,2026-04-05,ZilMoney,311648623,3264,1990,1570
202615,2026-04-06,2026-04-12,ZilMoney,311648623,2651,1778,1370
202616,2026-04-13,2026-04-19,ZilMoney,311648623,2613,1688,1338
202617,2026-04-20,2026-04-26,ZilMoney,311648623,2668,1788,1395
202618,2026-04-27,2026-05-03,ZilMoney,311648623,2825,1883,1492
202619,2026-05-04,2026-05-10,ZilMoney,311648623,2815,1849,1464
202620,2026-05-11,2026-05-17,ZilMoney,311648623,2773,1730,1356
