week,week_start,week_end,brand,trial_signups,paid_signups_checks,paid_signups_digital,kyc_submitted,kyc_approved,kyc_approval_pct,paying_customers_checks,paying_customers_digital,notes
202613,2026-03-23,2026-03-29,OnlineCheckWriter,,,,,,,,,
202614,2026-03-30,2026-04-05,OnlineCheckWriter,,,,,,,,,
202615,2026-04-06,2026-04-12,OnlineCheckWriter,,,,,,,,,
202616,2026-04-13,2026-04-19,OnlineCheckWriter,,,,,,,,,
202617,2026-04-20,2026-04-26,OnlineCheckWriter,,,,,,,,,
202618,2026-04-27,2026-05-03,OnlineCheckWriter,,,,,,,,,
202619,2026-05-04,2026-05-10,OnlineCheckWriter,,,,,,,,,
202620,2026-05-11,2026-05-17,OnlineCheckWriter,,,,,,,,,
202613,2026-03-23,2026-03-29,ZilMoney,,,,,,,,,
202614,2026-03-30,2026-04-05,ZilMoney,,,,,,,,,
202615,2026-04-06,2026-04-12,ZilMoney,,,,,,,,,
202616,2026-04-13,2026-04-19,ZilMoney,,,,,,,,,
202617,2026-04-20,2026-04-26,ZilMoney,,,,,,,,,
202618,2026-04-27,2026-05-03,ZilMoney,,,,,,,,,
202619,2026-05-04,2026-05-10,ZilMoney,,,,,,,,,
202620,2026-05-11,2026-05-17,ZilMoney,,,,,,,,,
